question_id,question,expected_answer,expected_source,expected_section,answerable,retrieved_chunks,generated_answer,retrieval_relevance,answer_correctness,groundedness,hallucination
Q001,How many days of annual leave are full-time employees entitled to per calendar year?,Full-time employees are entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q002,Who is entitled to 20 days of annual leave?,Full-time employees are entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q003,Is annual leave provided per calendar year?,Yes. The entitlement is 20 days per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q004,How many annual leave days are available to a full-time employee?,A full-time employee is entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q005,What is the annual leave entitlement for full-time employees?,20 days per calendar year for full-time employees.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q006,When should annual leave normally be requested?,Annual leave should normally be requested in advance.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q007,Which system should employees use to request annual leave?,The organization's leave management system.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q008,Does the Leave Policy say annual leave should normally be requested in advance?,Yes. Annual leave should normally be requested in advance through the leave management system.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q009,Can an employee normally request annual leave at the last minute?,Employees should avoid last-minute leave requests except in emergency situations.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q010,What is the standard annual leave entitlement mentioned in the policy?,20 days per calendar year for full-time employees.,Leave_Policy.docx,1. Annual Leave,Yes,,,,,,
Q011,When may an employee request sick leave?,Employees may request sick leave when they are unable to work because of illness.,Leave_Policy.docx,2. Sick Leave,Yes,,,,,,
Q012,What should an employee do when they are unable to work because of illness?,They may request sick leave and should notify their manager as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,,,,,,
Q013,When should an employee notify their manager about sick leave?,They should notify their manager as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,,,,,,
Q014,Does the policy allow employees to request sick leave because of illness?,Yes. Employees may request sick leave when they cannot work because of illness.,Leave_Policy.docx,2. Sick Leave,Yes,,,,,,
Q015,Who should be notified when an employee needs sick leave?,The employee's manager should be notified as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,,,,,,
Q016,Who approves leave requests?,Leave requests are subject to manager approval and operational requirements.,Leave_Policy.docx,3. Leave Approval,Yes,,,,,,
Q017,What factors affect leave approval?,Manager approval and operational requirements.,Leave_Policy.docx,3. Leave Approval,Yes,,,,,,
Q018,Should employees avoid submitting leave requests at the last minute?,Yes. Employees should avoid last-minute requests except in emergency situations.,Leave_Policy.docx,3. Leave Approval,Yes,,,,,,
Q019,Are emergency situations an exception to the last-minute leave guidance?,Yes. Emergency situations are an exception to the general last-minute guidance.,Leave_Policy.docx,3. Leave Approval,Yes,,,,,,
Q020,What does the policy say about operational requirements for leave?,Leave approval is subject to operational requirements as well as manager approval.,Leave_Policy.docx,3. Leave Approval,Yes,,,,,,
Q021,What is the standard working schedule?,"Monday through Friday, with eight working hours per day.",Attendance_Policy.docx,1. Standard Schedule,Yes,,,,,,
Q022,How many working hours are required per day under the standard schedule?,Eight working hours per day.,Attendance_Policy.docx,1. Standard Schedule,Yes,,,,,,
Q023,Which days make up the standard working week?,Monday through Friday.,Attendance_Policy.docx,1. Standard Schedule,Yes,,,,,,
Q024,Does the standard schedule run Monday through Friday?,Yes. The standard schedule is Monday through Friday.,Attendance_Policy.docx,1. Standard Schedule,Yes,,,,,,
Q025,How many working hours per day are specified in the Attendance Policy?,Eight working hours per day.,Attendance_Policy.docx,1. Standard Schedule,Yes,,,,,,
Q026,What are the core collaboration hours?,Core collaboration hours are from 10:00 AM to 4:00 PM.,Attendance_Policy.docx,2. Core Hours,Yes,,,,,,
Q027,When are employees expected to be available during core hours?,Employees are expected to be available from 10:00 AM to 4:00 PM unless they are on approved leave.,Attendance_Policy.docx,2. Core Hours,Yes,,,,,,
Q028,What time do core collaboration hours begin?,10:00 AM,Attendance_Policy.docx,2. Core Hours,Yes,,,,,,
Q029,What time do core collaboration hours end?,4:00 PM,Attendance_Policy.docx,2. Core Hours,Yes,,,,,,
Q030,Are employees expected to be available during core hours when on approved leave?,No. Employees on approved leave are an exception.,Attendance_Policy.docx,2. Core Hours,Yes,,,,,,
Q031,How must employees record attendance?,Employees must accurately record attendance using the organization's approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,,,,,,
Q032,What system should employees use to record attendance?,The organization's approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,,,,,,
Q033,Must attendance be recorded accurately?,Yes. Employees must accurately record attendance.,Attendance_Policy.docx,3. Attendance Recording,Yes,,,,,,
Q034,What does the policy require regarding attendance records?,Employees must accurately record attendance using the approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,,,,,,
Q035,Is the approved attendance system used for recording attendance?,Yes.,Attendance_Policy.docx,3. Attendance Recording,Yes,,,,,,
Q036,What should employees do if they expect to arrive late?,They should notify their manager as soon as reasonably possible.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,,,,,,
Q037,When should a late-arriving employee notify their manager?,As soon as reasonably possible.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,,,,,,
Q038,What should an employee do if they cannot attend work?,They should inform their manager and follow the applicable leave procedure.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,,,,,,
Q039,What procedure should employees follow when absent?,The applicable leave procedure.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,,,,,,
Q040,Who should an employee inform when they cannot attend work?,Their manager.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,,,,,,
Q041,Who may request a work-from-home arrangement?,"Employees whose roles can be performed remotely may request WFH, subject to manager approval.",Work_From_Home_Policy.docx,1. Eligibility,Yes,,,,,,
