question_id,question,expected_answer,expected_source,expected_section,answerable,retrieved_chunks,generated_answer,retrieval_relevance,answer_correctness,groundedness,hallucination,retrieved_source_documents,evaluation_status,source_attribution,answer_correctness_score,groundedness_score,completeness_score,retrieved_chunk_count,quality_status
Q001,How many days of annual leave are full-time employees entitled to per calendar year?,Full-time employees are entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006,"Based on `Leave_Policy.docx`, full-time employees are entitled to 20 days of annual leave per calendar year.",0.6442 || 0.3700 || 0.3491,,,,Leave_Policy.docx || Leave_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.9501377701759338,1.0,1.0,3,PASS
Q002,Who is entitled to 20 days of annual leave?,Full-time employees are entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"According to the Leave Policy document (`Leave_Policy.docx`), full-time employees are entitled to 20 days of annual leave per calendar year.",0.5943 || 0.4473 || 0.3826,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.9692708611488342,1.0,1.0,3,PASS
Q003,Is annual leave provided per calendar year?,Yes. The entitlement is 20 days per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,"Yes, full-time employees are entitled to 20 days of annual leave per calendar year, as stated in the `Leave_Policy.docx` document (Chunk ID: Leave_Policy.docx_chunk_0010).",0.5861 || 0.3759 || 0.3606,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q004,How many annual leave days are available to a full-time employee?,A full-time employee is entitled to 20 days of annual leave per calendar year.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,"Full-time employees are entitled to 20 days of annual leave per calendar year, according to the `Leave_Policy.docx`.",0.6709 || 0.4224 || 0.4210,,,,Leave_Policy.docx || Work_From_Home_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.9807470798492431,1.0,1.0,3,PASS
Q005,What is the annual leave entitlement for full-time employees?,20 days per calendar year for full-time employees.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Travel_Policy.docx | Travel_Policy.docx_chunk_0017 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,Full-time employees are entitled to 20 days of annual leave per calendar year (Leave_Policy.docx).,0.5961 || 0.3367 || 0.3231,,,,Leave_Policy.docx || Travel_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.9398195385932923,1.0,1.0,3,PASS
Q006,When should annual leave normally be requested?,Annual leave should normally be requested in advance.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"According to the *Leave_Policy.docx*, annual leave should normally be requested in advance through the organization's leave management system.",0.6312 || 0.5742 || 0.4810,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.8996117413043976,1.0,1.0,3,PASS
Q007,Which system should employees use to request annual leave?,The organization's leave management system.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004,Employees should request annual leave through the organization's leave management system (Leave_Policy.docx).,0.6332 || 0.5291 || 0.4647,,,,Leave_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.8312686383724213,1.0,1.0,3,PASS
Q008,Does the Leave Policy say annual leave should normally be requested in advance?,Yes. Annual leave should normally be requested in advance through the leave management system.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Yes, according to `Leave_Policy.docx`, annual leave should normally be requested in advance through the organization's leave management system.",0.6015 || 0.5498 || 0.4805,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q009,Can an employee normally request annual leave at the last minute?,Employees should avoid last-minute leave requests except in emergency situations.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Based on `Leave_Policy.docx`, employees should avoid submitting annual leave requests at the last minute, except in emergency situations (Leave_Policy.docx_chunk_0011). Normally, annual leave should be requested in advance through the organization's leave management system (Leave_Policy.docx_chunk_0010).",0.6147 || 0.5676 || 0.5195,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.8199023008346558,1.0,1.0,3,PASS
Q010,What is the standard annual leave entitlement mentioned in the policy?,20 days per calendar year for full-time employees.,Leave_Policy.docx,1. Annual Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Travel_Policy.docx | Travel_Policy.docx_chunk_0017 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,"Based on *Leave_Policy.docx*, full-time employees are entitled to 20 days of annual leave per calendar year.",0.5585 || 0.3147 || 0.3146,,,,Leave_Policy.docx || Travel_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.9311316251754761,1.0,1.0,3,PASS
Q011,When may an employee request sick leave?,Employees may request sick leave when they are unable to work because of illness.,Leave_Policy.docx,2. Sick Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Based on `Leave_Policy.docx`, an employee may request sick leave when they are unable to work because of illness.",0.5715 || 0.5491 || 0.5018,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.9120392203330994,1.0,1.0,3,PASS
Q012,What should an employee do when they are unable to work because of illness?,They may request sick leave and should notify their manager as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0007 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010,"Based on the provided documents, when employees are unable to work because of illness, they may request sick leave and should notify their manager as soon as reasonably possible (Source 3: `Leave_Policy.docx`).",0.3136 || 0.2993 || 0.2978,,,,Employee_Handbook.docx || Attendance_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.8888092637062073,1.0,1.0,3,PASS
Q013,When should an employee notify their manager about sick leave?,They should notify their manager as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Based on `Leave_Policy.docx`, an employee should notify their manager about sick leave as soon as reasonably possible.",0.5688 || 0.5008 || 0.4851,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.7634258270263672,1.0,1.0,3,PASS
Q014,Does the policy allow employees to request sick leave because of illness?,Yes. Employees may request sick leave when they cannot work because of illness.,Leave_Policy.docx,2. Sick Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,"Yes, according to `Leave_Policy.docx`, employees may request sick leave when they are unable to work because of illness.",0.5538 || 0.4147 || 0.3861,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q015,Who should be notified when an employee needs sick leave?,The employee's manager should be notified as soon as reasonably possible.,Leave_Policy.docx,2. Sick Leave,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010,"Based on the `Leave_Policy.docx` document, employees should notify their manager as soon as reasonably possible when they need sick leave (Leave_Policy.docx_chunk_0010).",0.5593 || 0.4973 || 0.4582,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.7897831797599792,1.0,1.0,3,PASS
